dataset,model,folder_path,top1,ECE,SCE,checkpoint_train_loss,checkpoint_train_top1,checkpoint_val_loss,checkpoint_val_top1,checkpoint_test_loss,checkpoint_test_top1,checkpoint_test_top3,checkpoint_test_top5,checkpoint_test_sce,checkpoint_test_ece
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:30:58.307561_FL+MDCA_gamma=2.0_beta=1.0,10.0,0.0142529547214508,0.005802794247865678,1.9780523797988891,9.955555552842881,2.30555871963501,9.88,2.30480411529541,10.0,30.0,50.0,0.005802794247865678,0.0142529547214508
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:31:11.972015_FL+MDCA_gamma=2.0_beta=5.0,10.0,0.013694608211517328,0.006144635379314423,2.0909287046644423,9.999999997287327,2.308922781944275,9.88,2.3061997532844543,10.0,30.0,50.0,0.006144635379314423,0.013694608211517328
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:31:25.464795_FL+MDCA_gamma=2.0_beta=10.0,10.0,0.018077285587787623,0.010794170945882798,2.2365841520945233,9.88444444410536,2.3161132192611693,9.88,2.3117239117622375,10.0,30.0,50.0,0.010794170945882798,0.018077285587787623
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:31:39.064664_cross_entropy,22.27,0.03304644162505864,0.02781659076809883,2.392155190446642,14.184444444444445,2.0605369305610655,22.06,2.058463567495346,22.27,57.97,77.79,0.02781659076809883,0.03304644162505864
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:31:56.784542_NLL+MDCA_beta=1.0,10.0,0.00771727561950683,0.00459967628121376,2.4849706057654486,10.019999999491374,2.303094048500061,10.76,2.3040620422363283,10.0,30.0,50.0,0.00459967628121376,0.00771727561950683
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:32:17.653867_FL+MDCA_gamma=1_beta=5.0,10.01,0.015672433578968054,0.009480419009923935,2.4793225869920517,9.882222221713596,2.3073866748809815,10.54,2.3088658618927003,10.01,29.99,50.0,0.009480419009923935,0.015672433578968054
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:32:38.937710_FL+MDCA_gamma=1_beta=10.0,9.99,0.014547996020317075,0.010313084274530409,2.690387206141154,9.90666666615804,2.310091938972473,9.9,2.310624666213989,9.99,30.0,50.0,0.010313084274530409,0.014547996020317075
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:33:00.125679_focal_loss_gamma=1.0,20.65,0.036413827113807196,0.026886530602872372,2.182345147811042,12.977777777777778,2.1384578275680544,19.76,2.140905666351318,20.65,50.5,70.67,0.026886530602872372,0.036413827113807196
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:33:20.161692_focal_loss_gamma=2.0,27.11,0.020426986272633074,0.01881693050444126,1.7694277629640367,20.008888885498045,1.8885655212402344,26.84,1.900383083820343,27.11,62.75,83.14,0.01881693050444126,0.020426986272633074
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:33:40.303969_FL+MDCA_gamma=1.0_beta=1.0,9.93,0.008044850897789002,0.0047972843050956724,2.24139094903734,10.111111110602485,2.3032549095153807,9.88,2.3042201733589174,9.93,29.99,50.0,0.0047972843050956724,0.008044850897789002
